init(i1)
action(n1, "Start ordering process")
action(n2, "Go to Amazon homepage")
action(n3, "Search for a book")
action(n4, "Click 22 used link")
action(n5, "Click Add to Cart for second book")
action(n6, "Click Proceed to Checkout")
action(n7, "Enter email address")
action(n8, "Select I am a new customer option")
action(n9, "Click Sign in using our secure server")
action(n10, "Enter customer details")
action(n11, "Click Create account")
action(n12, "Enter shipping details")
action(n13, "Click Continue")
action(n14, "Select preferred shipping options")
action(n15, "Click Continue")
action(n16, "Choose payment method and enter credit card details")
action(n17, "Click Add your card")
action(n18, "Click Continue")
action(n19, "Choose billing address and use selected address")
action(n20, "Click Place your order in AUD")
action(n21, "End ordering process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, e1])

precedence(i1, n1)
precedence(n21, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
