init(i1)
action(n1, "Gross pathology request arrived")
action(n2, "create barcode scan at registration start")
action(n3, "perform Registration gross pathology request")
action(n4, "assign container to gross pathology request")
action(n5, "Specimen description")
action(n6, "scan start during Specimen description")
action(n7, "scan end during Specimen description")
action(n8, "Registration gross pathology request cont")
action(n9, "scan start during Registration gross pathology request cont")
action(n10, "Macroscopic description writing")
action(n11, "Tissue processing")
action(n12, "Digitalization required")
branch(b1, XOR)
action(n13, "perform Digitalization")
action(n14, "Digitalization required again")
branch(b2, XOR)
action(n15, "perform Digitalization")
action(n16, "assign cases to pathologist")
action(n17, "Microscopic examination and diagnosis")
action(n18, "write pathology report")
action(n19, "confirm pathology report")
action(n20, "deliver pathology report")
action(n21, "post report processing")
action(n22, "close pathology procedure")
action(n23, "deliver pathology report and complete post report processing")
end(e1)
converge(c1)
converge(c2)
branch(b3, AND)
defines(v1, "Digitalization required", {})
defines(v2, "Digitalization required again", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, b1, n13, n14, b2, n15, n16, n17, n18, n19, n20, n21, n22, n23, e1, c1, c2, b3])

precedence(i1, n1)
precedence(n12, b1)
precedence(n14, b2)
precedence(n23, e1)
precedence(c1, n14)
precedence(c2, n16)
precedence(n9, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(b3, n10)
precedence(b3, n11)
precedence(n11, n12)
precedence(b1, n13)
precedence(b1, c1)
precedence(n13, c1)
precedence(b2, n15)
precedence(n10, c2)
precedence(b2, c2)
precedence(n15, c2)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
