init(i1)
action(n1, "start")
action(n2, "identify business need")
action(n3, "gather business requirements")
action(n4, "create RFP")
action(n5, "create scorecard")
action(n6, "submit RFP to vendors")
action(n7, "score proposals")
action(n8, "request response from vendors by set date")
action(n9, "downselect vendors to present proposals")
action(n10, "score received proposals again")
action(n11, "attend presentations")
action(n12, "rescore proposals based on Q&A sessions")
action(n13, "Are pricing and scope adjustments necessary")
branch(b1, XOR)
action(n14, "request pricing and scope adjustments")
action(n15, "review and rescore based on final proposals")
action(n16, "notify vendors of selection")
action(n17, "create contract based on winning proposal")
action(n18, "end")
end(e1)
converge(c1)
converge(c2)
branch(b2, AND)
defines(v1, "Are pricing and scope adjustments necessary", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, b1, n14, n15, n16, n17, n18, e1, c1, c2, b2])

precedence(i1, n1)
precedence(n13, b1)
precedence(n18, e1)
precedence(c1, n6)
precedence(c2, n15)
precedence(n3, b2)
precedence(n1, n2)
precedence(n2, n3)
precedence(b2, n4)
precedence(b2, n5)
precedence(n4, c1)
precedence(n5, c1)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(b1, n14)
precedence(n14, c2)
precedence(b1, c2)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
