init(i1)
action(n1, "Business Process Requirements")
action(n2, "SAP Configuration")
action(n3, "Communications Design")
action(n4, "IT Design Development & Functional Test")
action(n5, "Learning Design")
action(n6, "Data Conversion Design & Test")
action(n7, "Communications Deployment")
action(n8, "Learning Deployment")
action(n9, "Integration Test")
action(n10, "Deployment")
action(n11, "Production Support")
action(n12, "End")
end(e1)
converge(c1)
converge(c2)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1, c1, c2, b1, b2, b3])

precedence(i1, n1)
precedence(n12, e1)
precedence(c1, n9)
precedence(c2, n10)
precedence(n2, b1)
precedence(n3, b2)
precedence(n5, b3)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(b2, n5)
precedence(b3, n6)
precedence(b2, n7)
precedence(b3, n8)
precedence(n6, c1)
precedence(n4, c1)
precedence(n7, c2)
precedence(n8, c2)
precedence(n9, c2)
precedence(n10, n11)
precedence(n11, n12)
