init(i1)
action(n1, "start periodic planning process")
action(n2, "determine periodic planning needs and events that impact demand")
action(n3, "develop sales and operation plan")
action(n4, "create operations plan")
action(n5, "perform disaggregation stage")
action(n6, "generate planned independent requirements PIR")
action(n7, "address changes to MRP elements")
action(n8, "execute material requirements planning MRP")
action(n9, "finalize purchase requisitions planned orders and dependent requirements")
action(n10, "end planning process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
