init(i1)
action(n1, "start process for AMAG")
action(n2, "initiate Start command")
action(n3, "receive sealed shipment")
action(n4, "register spare parts")
action(n5, "pay attention to use of barcode scanners")
action(n6, "clear customs")
action(n7, "enter information into IT system")
action(n8, "make product available in central warehouse")
action(n9, "end process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
