init(i1)
action(n1, "Start at Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on the link that says 22 used to see used books available")
action(n4, "Click on the Add to Cart button for the second book on the list")
action(n5, "Click on Proceed to Checkout button")
action(n6, "Enter your email address")
action(n7, "Select the option I am a new customer")
action(n8, "Click on Sign in using our secure server button")
action(n9, "Have you signed in")
branch(b1, XOR)
action(n10, "Enter your customer details")
action(n11, "Click on Create account button")
action(n12, "Enter your shipping details")
action(n13, "Click on Continue button after entering shipping details")
action(n14, "Select your preferred shipping options")
action(n15, "Click on Continue button after selecting shipping options")
action(n16, "Choose your payment method")
action(n17, "Enter your credit card details")
action(n18, "Click on Add your card button to save card information")
action(n19, "Click on Continue to proceed after adding card")
action(n20, "Choose your billing address")
action(n21, "Select the option to use the chosen billing address")
action(n22, "Click on Place your order in AUD to complete the process")
action(n23, "You have completed this procedure")
end(e1)
action(n24, "Have you signed in")
branch(b2, XOR)
action(n25, "Click on Sign in using our secure server button again")
action(n26, "Return to sign in check")
defines(v1, "Have you signed in", {"Yes", "No"})
defines(v2, "Have you signed in", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, b1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, e1, n24, b2, n25, n26])

precedence(i1, n1)
precedence(n9, b1)
precedence(n23, e1)
precedence(n24, b2)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(b1, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(b1, n24)
precedence(b2, n25)
precedence(n25, n26)
guard(b1, n10, v1 = 'Yes')
guard(b1, n24, v1 = 'No')
