init(i1)
action(n1, "start buyer checkout process")
action(n2, "proceed to checkout")
action(n3, "verify login details")
action(n4, "select shipping option")
action(n5, "choose payment method option")
action(n6, "did buyer select credit card payment method")
branch(b1, XOR)
action(n7, "continue with process for credit card option")
action(n8, "did buyer select Amazon gift card option")
branch(b2, XOR)
action(n9, "continue with process for Amazon gift card option")
action(n10, "continue with process for other payment methods")
action(n11, "continue with process for other payment methods")
action(n12, "enter details for chosen payment method")
action(n13, "click Confirm")
action(n14, "review order")
action(n15, "confirm order")
action(n16, "buyer receives confirmation email")
action(n17, "send results to Amazon")
action(n18, "end process")
end(e1)
converge(c1)
branch(b3, AND)
defines(v1, "did buyer select credit card payment method", {})
defines(v2, "did buyer select Amazon gift card option", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, b1, n7, n8, b2, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, e1, c1, b3])

precedence(i1, n1)
precedence(n6, b1)
precedence(n8, b2)
precedence(n18, e1)
precedence(c1, n12)
precedence(n5, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(b3, n6)
precedence(b1, n7)
precedence(b3, n8)
precedence(b2, n9)
precedence(b1, n10)
precedence(b2, n11)
precedence(n7, c1)
precedence(n9, c1)
precedence(n10, c1)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
