init(i1)
action(n1, "Start the purchasing process")
action(n2, "Gather the required items")
action(n3, "Inquire about availability of products")
action(n4, "Wait for the invoice")
action(n5, "Review pricing and terms of items")
action(n6, "Send purchase requisition")
action(n7, "Wait for purchase invoice")
action(n8, "Wait for shipment")
action(n9, "Proceed after receiving purchase invoice and shipment")
action(n10, "Receive the invoice")
action(n11, "Make the payment")
action(n12, "Transaction is complete")
action(n13, "End process")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, e1, c1, b1])

precedence(i1, n1)
precedence(n13, e1)
precedence(c1, n9)
precedence(n6, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, c1)
precedence(n8, c1)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
