init(i1)
action(n1, "start ACME resupply process")
action(n2, "start New Resupply Cycle")
action(n3, "Check Levels of Inventory")
action(n4, "is inventory below or equal to minimum")
branch(b1, XOR)
action(n5, "generate Equal to or below minimum Report")
action(n6, "generate Above Minimum Report")
action(n7, "does report indicate inventory equal to or below minimum")
branch(b2, XOR)
action(n8, "does report indicate inventory above minimum")
branch(b3, XOR)
action(n9, "create Purchase Orders POs")
action(n10, "end process because inventory above minimum")
end(e1)
action(n11, "review PO creation needed")
branch(b4, XOR)
action(n12, "rework PO")
action(n13, "PO approved")
branch(b5, XOR)
action(n14, "print and release PO in system")
action(n15, "PO rejected and needs rework")
branch(b6, XOR)
action(n16, "rework PO creation needed")
action(n17, "reserve funds for released POs")
action(n18, "mail POs to supplier")
action(n19, "receive Packing Slip")
action(n20, "receive inventory")
action(n21, "proceed to receive Invoice")
action(n22, "proceed to receive Packing Slip after inventory")
action(n23, "receive Invoice")
action(n24, "perform Three-way match")
action(n25, "is Three-way match successful")
branch(b7, XOR)
action(n26, "release funds")
action(n27, "issue payment")
action(n28, "Resupply Cycle complete end process")
end(e2)
action(n29, "rework PO needed create again")
action(n30, "rework PO needed create again")
action(n31, "all parallel tasks complete after printing and releasing PO")
action(n32, "PO creation review after rework")
branch(b8, XOR)
action(n33, "PO creation review after rework")
branch(b9, XOR)
action(n34, "merge PO creation review nodes after rework")
action(n35, "PO approved after rework")
branch(b10, XOR)
action(n36, "PO rejected and needs rework again")
branch(b11, XOR)
action(n37, "print and release PO in system after rework")
action(n38, "PO rejected and needs rework again")
action(n39, "reserve funds for released POs after rework")
action(n40, "mail POs to supplier after rework")
action(n41, "receive Packing Slip after rework")
action(n42, "receive inventory after rework")
action(n43, "proceed to receive Invoice after rework")
action(n44, "proceed to receive Packing Slip after inventory rework")
action(n45, "receive Invoice after rework")
action(n46, "perform Three-way match after rework")
action(n47, "is Three-way match successful after rework")
branch(b12, XOR)
action(n48, "release funds after rework")
action(n49, "issue payment after rework")
action(n50, "Resupply Cycle complete end process after rework")
end(e3)
action(n51, "rework PO needed create again after rework rejected")
action(n52, "PO creation review after second rework")
branch(b13, XOR)
action(n53, "PO approval after second rework")
branch(b14, XOR)
action(n54, "PO rejection after second rework")
branch(b15, XOR)
action(n55, "print and release PO after second rework")
action(n56, "rework PO needed again after second rejection")
action(n57, "reserve funds for released POs after second rework")
action(n58, "mail POs to supplier after second rework")
action(n59, "receive Packing Slip after second rework")
action(n60, "receive inventory after second rework")
action(n61, "proceed to receive Invoice after second rework")
action(n62, "proceed to receive Packing Slip after inventory second rework")
action(n63, "receive Invoice after second rework")
action(n64, "perform Three-way match after second rework")
action(n65, "is Three-way match successful after second rework")
branch(b16, XOR)
action(n66, "release funds after second rework")
action(n67, "issue payment after second rework")
action(n68, "Resupply Cycle complete end process after second rework")
end(e4)
action(n69, "rework PO needed create again second time")
action(n70, "PO creation review after third rework")
branch(b17, XOR)
action(n71, "PO approval after third rework")
branch(b18, XOR)
action(n72, "PO rejection after third rework")
branch(b19, XOR)
action(n73, "print and release PO after third rework")
action(n74, "rework PO needed again after third rejection")
action(n75, "reserve funds for released POs after third rework")
action(n76, "mail POs to supplier after third rework")
action(n77, "receive Packing Slip after third rework")
action(n78, "receive inventory after third rework")
action(n79, "proceed to receive Invoice after third rework")
action(n80, "proceed to receive Packing Slip after inventory third rework")
action(n81, "receive Invoice after third rework")
action(n82, "perform Three-way match after third rework")
action(n83, "is Three-way match successful after third rework")
branch(b20, XOR)
action(n84, "release funds after third rework")
action(n85, "issue payment after third rework")
action(n86, "Resupply Cycle complete end process after third rework")
end(e5)
action(n87, "rework PO needed create again third time")
action(n88, "PO creation review after fourth rework")
branch(b21, XOR)
action(n89, "PO approval after fourth rework")
branch(b22, XOR)
action(n90, "PO rejection after fourth rework")
branch(b23, XOR)
action(n91, "print and release PO after fourth rework")
action(n92, "rework PO needed again after fourth rejection")
action(n93, "reserve funds for released POs after fourth rework")
action(n94, "mail POs to supplier after fourth rework")
action(n95, "receive Packing Slip after fourth rework")
action(n96, "receive inventory after fourth rework")
action(n97, "proceed to receive Invoice after fourth rework")
action(n98, "proceed to receive Packing Slip after inventory fourth rework")
action(n99, "receive Invoice after fourth rework")
action(n100, "perform Three-way match after fourth rework")
action(n101, "is Three-way match successful after fourth rework")
branch(b24, XOR)
action(n102, "release funds after fourth rework")
action(n103, "issue payment after fourth rework")
action(n104, "Resupply Cycle complete end process after fourth rework")
end(e6)
action(n105, "rework PO needed create again fourth time")
action(n106, "end processing due to repeated rework")
end(e7)
converge(c1)
converge(c2)
branch(b25, AND)
branch(b26, AND)
branch(b27, AND)
branch(b28, AND)
branch(b29, AND)
branch(b30, AND)
branch(b31, AND)
branch(b32, AND)
defines(v1, "is inventory below or equal to minimum", {"Yes", "No"})
defines(v2, "does report indicate inventory equal to or below minimum", {"Yes"})
defines(v3, "does report indicate inventory above minimum", {"Yes"})
defines(v4, "review PO creation needed", {"No", "Yes"})
defines(v5, "PO approved", {"Yes", "No"})
defines(v6, "PO rejected and needs rework", {})
