init(i1)
action(n1, "start IDES process")
action(n2, "request a quotation")
action(n3, "create the quotation")
action(n4, "compare prices")
action(n5, "create a contract")
action(n6, "create a purchase requisition")
action(n7, "assign purchase requisition to a source")
action(n8, "create a purchase order")
action(n9, "process inbound delivery")
action(n10, "post goods receipt")
action(n11, "verify the invoice")
action(n12, "process blocked invoices")
action(n13, "make payment to vendor")
action(n14, "End")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, e1])

precedence(i1, n1)
precedence(n14, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
