init(i1)
action(n1, "Start the process")
action(n2, "Select trip type")
branch(b1, XOR)
action(n3, "Select one way")
action(n4, "Select return")
action(n5, "Select departure city")
action(n6, "Select destination city")
action(n7, "Select class")
action(n8, "Select seat")
action(n9, "Enter type and number of passengers")
action(n10, "Select flight")
action(n11, "End")
end(e1)
action(n12, "Select departure city")
action(n13, "Select destination city")
action(n14, "Select class")
action(n15, "Select seat")
action(n16, "Enter type and number of passengers")
action(n17, "Select flight")
action(n18, "End")
end(e2)
defines(v1, "Select trip type", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, n6, n7, n8, n9, n10, n11, e1, n12, n13, n14, n15, n16, n17, n18, e2])

precedence(i1, n1)
precedence(n2, b1)
precedence(n11, e1)
precedence(n18, e2)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n3, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n4, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
