init(i1)
action(n1, "Begin purchase process")
action(n2, "Make a purchase")
action(n3, "Connect to website")
action(n4, "Search for an item")
action(n5, "Choose action after searching")
branch(b1, XOR)
action(n6, "Add item to cart")
action(n7, "Proceed to checkout")
action(n8, "Enter address")
action(n9, "Enter shipping method")
action(n10, "Enter payment information")
action(n11, "Authorize credit card")
action(n12, "Check inventory levels")
action(n13, "Merged checkout info")
action(n14, "Is credit card approved and inventory in stock?")
branch(b2, XOR)
action(n15, "Continue with process")
action(n16, "Transaction ends")
end(e1)
action(n17, "Display order confirmation number")
action(n18, "Show final order to customer")
action(n19, "Confirm order")
action(n20, "Send confirmation email")
action(n21, "Order entry complete")
end(e2)
action(n22, "Continue shopping")
action(n23, "Back to search for an item")
action(n24, "Go back to choose action after searching")
branch(b3, XOR)
converge(c1)
branch(b4, AND)
defines(v1, "Choose action after searching", {})
defines(v2, "Is credit card approved and inventory in stock?", {})
defines(v3, "Go back to choose action after searching", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, b1, n6, n7, n8, n9, n10, n11, n12, n13, n14, b2, n15, n16, e1, n17, n18, n19, n20, n21, e2, n22, n23, n24, b3, c1, b4])

precedence(i1, n1)
precedence(n5, b1)
precedence(n14, b2)
precedence(n16, e1)
precedence(n21, e2)
precedence(n24, b3)
precedence(c1, n13)
precedence(n7, b4)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(b1, n6)
precedence(n6, n7)
precedence(b4, n8)
precedence(b4, n9)
precedence(b4, n10)
precedence(b4, n11)
precedence(b4, n12)
precedence(n8, c1)
precedence(n9, c1)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, n14)
precedence(b2, n15)
precedence(b2, n16)
precedence(n15, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(b1, n22)
precedence(n22, n23)
precedence(n23, n24)
