init(i1)
action(n1, "start the process")
action(n2, "proceed to checkout")
action(n3, "verify login details")
action(n4, "select shipping option")
action(n5, "choose payment method option")
action(n6, "is payment method credit card")
branch(b1, XOR)
action(n7, "continue with credit card payment process")
action(n8, "continue with amazon gift card payment process")
action(n9, "enter payment method details")
action(n10, "enter payment method details")
action(n11, "click confirm")
action(n12, "click confirm")
action(n13, "review the order")
action(n14, "review the order")
action(n15, "confirm the order")
action(n16, "confirm the order")
action(n17, "receive confirmation email")
action(n18, "receive confirmation email")
action(n19, "send results to amazon")
action(n20, "send results to amazon")
action(n21, "you have completed this procedure")
end(e1)
action(n22, "you have completed this procedure")
end(e2)
defines(v1, "is payment method credit card", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, b1, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, e1, n22, e2])

precedence(i1, n1)
precedence(n6, b1)
precedence(n21, e1)
precedence(n22, e2)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, n12)
precedence(n11, n13)
precedence(n12, n14)
precedence(n13, n15)
precedence(n14, n16)
precedence(n15, n17)
precedence(n16, n18)
precedence(n17, n19)
precedence(n18, n20)
precedence(n19, n21)
precedence(n20, n22)
label(n5, n6, "amazon gift card")
