init(i1)
action(n1, "start")
action(n2, "Define the Audience")
action(n3, "Develop a Concept")
action(n4, "Determine the Form or Style")
action(n5, "Write the Script")
action(n6, "Create a Storyboard")
action(n7, "Shoot Video")
action(n8, "Record Narration")
action(n9, "Create Graphics")
action(n10, "Find or create Music")
action(n11, "Capture Video to Computer")
action(n12, "Import Audio: Narration, Music and Sound Effects")
action(n13, "Import Graphics")
action(n14, "Create Titles, Subtitles, Credits")
action(n15, "Edit it all together")
action(n16, "Upload to Youtube")
action(n17, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1])

precedence(i1, n1)
precedence(n17, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
