init(i1)
action(n1, "start process")
action(n2, "perform CB")
action(n3, "perform CC.CC")
action(n4, "perform CD.CD")
action(n5, "perform CE.CE")
action(n6, "perform CI.CI")
action(n7, "perform CK.CK")
action(n8, "perform CL.CL")
action(n9, "conclude with CM")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
