init(i1)
action(n1, "start procedure")
action(n2, "assess potential for seizure")
action(n3, "assess potential for significant hemorrhage")
action(n4, "assess potential for acute respiratory distress")
action(n5, "administer midazolam 10 mg as needed")
action(n6, "end procedure")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, e1, c1, b1])

precedence(i1, n1)
precedence(n6, e1)
precedence(c1, n5)
precedence(n1, b1)
precedence(b1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n2, c1)
precedence(n3, c1)
precedence(n4, c1)
precedence(n5, n6)
