init(i1)
action(n1, "open amazon homepage")
action(n2, "search for a book")
action(n3, "click link 22 used to view used books")
action(n4, "click Add to Cart for second book")
action(n5, "click Proceed to Checkout")
action(n6, "enter email address")
action(n7, "select I am a new customer option")
action(n8, "click Sign in using our secure server")
action(n9, "enter customer details")
action(n10, "click Create account")
action(n11, "enter shipping details")
action(n12, "click Continue on shipping details")
action(n13, "select preferred shipping options")
action(n14, "click Continue on shipping options")
action(n15, "choose payment method")
action(n16, "enter credit card details")
action(n17, "click Add your card")
action(n18, "click Continue after adding card")
action(n19, "choose billing address and use selected address")
action(n20, "click Place your order in AUD")
action(n21, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, e1])

precedence(i1, n1)
precedence(n21, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
