init(i1)
action(n1, "start")
action(n2, "start with CB")
action(n3, "move to CC.CC")
action(n4, "move to CD.CD")
action(n5, "move to CE.CE")
action(n6, "move to CI.CI")
action(n7, "move to CK.CK")
action(n8, "move to CL.CL")
action(n9, "conclude with CM")
action(n10, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
