init(i1)
action(n1, "start TS recruitment process")
action(n2, "receive applications")
action(n3, "distribute applications")
action(n4, "provide evaluation sheet")
action(n5, "receive filled evaluation sheets")
action(n6, "consolidate ranking sheet")
action(n7, "distribute consolidated ranking sheet")
action(n8, "schedule panel meeting session to select top 20 candidates")
action(n9, "end TS recruitment process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
