init(i1)
action(n1, "Start Amazon purchase procedure")
action(n2, "Go to Amazon homepage")
action(n3, "Search for a book")
action(n4, "Click 22 used link to view used books")
action(n5, "Click Add to Cart button for second book")
action(n6, "Click Proceed to Checkout button")
action(n7, "Enter email address")
action(n8, "Select I am a new customer option")
action(n9, "Click Sign in using our secure server button")
action(n10, "Enter customer details")
action(n11, "Click Create account button")
action(n12, "Enter shipping details")
action(n13, "Click Continue button after entering shipping details")
action(n14, "Select preferred shipping options")
action(n15, "Click Continue button after selecting shipping options")
action(n16, "Choose payment method and enter credit card details")
action(n17, "Click Add your card button to save card information")
action(n18, "Click Continue button after adding card information")
action(n19, "Choose billing address and select use this address")
action(n20, "Click Place your order in AUD")
action(n21, "End")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, e1, c1, b1])

precedence(i1, n1)
precedence(n21, e1)
precedence(c1, n9)
precedence(n6, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, c1)
precedence(n8, c1)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
