init(i1)
action(n1, "Start the IDES process")
action(n2, "Request a Quotation")
action(n3, "Create the Quotation")
action(n4, "Compare Prices")
action(n5, "Create a Contract")
action(n6, "Create a Purchase Requisition")
action(n7, "Assign Requisition to a Source")
action(n8, "Create a Purchase Order")
action(n9, "Process Inbound Delivery")
action(n10, "Post the Goods Receipt")
action(n11, "Verify the Invoice")
action(n12, "Process any Blocked Invoices")
action(n13, "Make Payment to the Vendor")
action(n14, "End of the IDES process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, e1])

precedence(i1, n1)
precedence(n14, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
