init(i1)
action(n1, "Start Resupply Cycle")
action(n2, "Check inventory level")
action(n3, "Create purchase order")
action(n4, "Is purchase order good")
branch(b1, XOR)
action(n5, "Reject purchase order")
action(n6, "Approve purchase order")
action(n7, "Rework purchase order")
action(n8, "Review purchase order again")
action(n9, "Reserve funds for the purchase")
action(n10, "Send purchase order to supplier")
action(n11, "Receive packing slip")
action(n12, "Receive invoice")
action(n13, "Record packing slip")
action(n14, "Record invoice")
action(n15, "Release funds for payment")
action(n16, "Issue payment")
action(n17, "End process")
end(e1)
converge(c1)
branch(b2, AND)
defines(v1, "Is purchase order good", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1, c1, b2])

precedence(i1, n1)
precedence(n4, b1)
precedence(n17, e1)
precedence(c1, n15)
precedence(n10, b2)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(b1, n6)
precedence(n5, n7)
precedence(n7, n8)
precedence(n6, n9)
precedence(n9, n10)
precedence(b2, n11)
precedence(b2, n12)
precedence(n11, n13)
precedence(n12, n14)
precedence(n13, c1)
precedence(n14, c1)
precedence(n15, n16)
precedence(n16, n17)
