init(i1)
action(n1, "Start on Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on the used books link")
action(n4, "Add second book to cart")
action(n5, "Click Proceed to Checkout")
action(n6, "Enter email address")
action(n7, "Select I am a new customer")
action(n8, "Click Sign in using our secure server")
action(n9, "Enter customer details")
action(n10, "Click Create account")
action(n11, "Enter shipping details")
action(n12, "Click Continue after entering shipping details")
action(n13, "Select shipping options")
action(n14, "Click Continue after selecting shipping options")
action(n15, "Choose payment method")
action(n16, "Enter credit card details")
action(n17, "Click Add your card")
action(n18, "Click Continue after adding card")
action(n19, "Choose billing address")
action(n20, "Select to use chosen billing address")
action(n21, "Click Place your order in AUD")
action(n22, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, e1])

precedence(i1, n1)
precedence(n22, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
