init(i1)
action(n1, "BUSINESS PROCESS REQUIREMENTS")
action(n2, "SAP Configuration")
action(n3, "Communications Design")
action(n4, "Learning Design")
action(n5, "Data Conversion Design & Test")
action(n6, "IT Design Development & Functional Test")
action(n7, "Communications Deployment")
action(n8, "Learning Deployment")
action(n9, "Integration Test")
action(n10, "Integration Test")
action(n11, "Deployment")
action(n12, "Deployment")
action(n13, "Deployment")
action(n14, "PRODUCTION SUPPORT")
action(n15, "PRODUCTION SUPPORT")
action(n16, "PRODUCTION SUPPORT")
action(n17, "End")
end(e1)
action(n18, "End")
end(e2)
action(n19, "End")
end(e3)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1, n18, e2, n19, e3, b1, b2, b3])

precedence(i1, n1)
precedence(n17, e1)
precedence(n18, e2)
precedence(n19, e3)
precedence(n2, b1)
precedence(n3, b2)
precedence(n4, b3)
precedence(n1, n2)
precedence(b1, n3)
precedence(b2, n4)
precedence(b3, n5)
precedence(b1, n6)
precedence(b2, n7)
precedence(b3, n8)
precedence(n5, n9)
precedence(n6, n10)
precedence(n7, n11)
precedence(n8, n12)
precedence(n9, n13)
precedence(n13, n14)
precedence(n11, n15)
precedence(n12, n16)
precedence(n14, n17)
precedence(n15, n18)
precedence(n16, n19)
