init(i1)
action(n1, "enter the Italian restaurant")
action(n2, "ask for the menu")
action(n3, "check the offers")
action(n4, "order a glass of red wine")
action(n5, "order a salad")
action(n6, "wait for the wine to arrive")
action(n7, "wait for the salad to arrive")
action(n8, "enjoy the wine")
action(n9, "enjoy the salad")
action(n10, "ask for dessert preference")
branch(b1, XOR)
action(n11, "order tiramisu")
action(n12, "decline dessert")
action(n13, "wait for tiramisu to be served")
action(n14, "enjoy tiramisu")
action(n15, "ask for the bill")
action(n16, "pay the bill")
action(n17, "leave the restaurant")
action(n18, "process complete")
end(e1)
converge(c1)
converge(c2)
branch(b2, AND)
defines(v1, "ask for dessert preference", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, b1, n11, n12, n13, n14, n15, n16, n17, n18, e1, c1, c2, b2])

precedence(i1, n1)
precedence(n10, b1)
precedence(n18, e1)
precedence(c1, n10)
precedence(c2, n15)
precedence(n3, b2)
precedence(n1, n2)
precedence(n2, n3)
precedence(b2, n4)
precedence(b2, n5)
precedence(n4, n6)
precedence(n5, n7)
precedence(n6, n8)
precedence(n7, n9)
precedence(n8, c1)
precedence(n9, c1)
precedence(b1, n11)
precedence(b1, n12)
precedence(n11, n13)
precedence(n13, n14)
precedence(n14, c2)
precedence(n12, c2)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
