init(i1)
action(n1, "initiate reimbursement process")
action(n2, "request reimbursement")
action(n3, "submit form with receipts to Secretary")
action(n4, "reimbursement process concluded successfully")
end(e1)
action(n5, "contact support for further assistance")
end(e2)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, e1, n5, e2, b1])

precedence(i1, n1)
precedence(n4, e1)
precedence(n5, e2)
precedence(n3, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b1, n5)
