init(i1)
action(n1, "start the pc")
action(n2, "manage: Application Architecture")
action(n3, "manage: Student records and mailing lists")
action(n4, "manage: Accounting using MYOB AccountRight Premier")
action(n5, "manage: Program planning  pricing  and booking using MS Excel Worksheet")
action(n6, "manage: Annual Planning using MS Project")
action(n7, "manage: Materials Lists using MS Word")
action(n8, "manage: Email using Outlook")
action(n9, "end process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
