init(i1)
action(n1, "Start Process")
action(n2, "Periodic Planning Needs and Events Impacting Demand")
action(n3, "Sales and Operation Plan")
action(n4, "Operations Plan")
action(n5, "Disaggregation")
action(n6, "Planned Independent Requirements (PIR)")
action(n7, "Address Changes to MRP Elements")
action(n8, "Material Requirements Planning (MRP)")
action(n9, "Purchase Requisitions  Planned Orders  and Dependent Requirements")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
