init(i1)
action(n1, "start")
action(n2, "begin New Resupply Cycle")
action(n3, "Check Levels of Inventory")
action(n4, "is inventory below or equal to minimum?")
branch(b1, XOR)
action(n5, "Generate Equal to or below minimum Report")
action(n6, "Generate Above Minimum Report")
action(n7, "create Purchase Orders (POs)")
action(n8, "end process")
end(e1)
action(n9, "review PO")
branch(b2, XOR)
action(n10, "rework PO")
action(n11, "approve and print PO")
action(n12, "release PO in system")
action(n13, "reserve funds for released POs")
action(n14, "mail POs to supplier")
action(n15, "receive Packing Slip")
action(n16, "receive inventory")
action(n17, "proceed to receive Invoice")
action(n18, "receive Invoice")
action(n19, "perform Three-way match")
action(n20, "release funds")
action(n21, "issue payment")
action(n22, "complete Resupply Cycle")
end(e2)
branch(b3, AND)
defines(v1, "is inventory below or equal to minimum?", {})
defines(v2, "review PO", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, n8, e1, n9, b2, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, e2, b3])

precedence(i1, n1)
precedence(n4, b1)
precedence(n8, e1)
precedence(n9, b2)
precedence(n22, e2)
precedence(n7, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(b1, n6)
precedence(n5, n7)
precedence(n6, n8)
precedence(b3, n9)
precedence(b2, n10)
precedence(b2, n11)
precedence(n11, n12)
precedence(b3, n13)
precedence(b3, n14)
precedence(n13, n15)
precedence(n14, n16)
precedence(n15, n17)
precedence(n16, n18)
precedence(n17, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
