init(i1)
action(n1, "Start")
action(n2, "Navigate to Amazon homepage")
action(n3, "Search for a book")
action(n4, "Click '22 used' link")
action(n5, "Click 'Add to Cart' for second book")
action(n6, "Click 'Proceed to Checkout'")
action(n7, "Enter email address")
action(n8, "Select 'I am a new customer'")
action(n9, "Click 'Sign in using our secure server'")
action(n10, "Enter customer details")
action(n11, "Click 'Create account'")
action(n12, "Enter shipping details")
action(n13, "Click 'Continue'")
action(n14, "Select preferred shipping options")
action(n15, "Click 'Continue'")
action(n16, "Choose payment method")
action(n17, "Enter credit card details")
action(n18, "Click 'Add your card'")
action(n19, "Click 'Continue'")
action(n20, "Choose billing address")
action(n21, "Select use chosen billing address")
action(n22, "Click 'Place your order in AUD'")
action(n23, "End")
end(e1)
converge(c1)
converge(c2)
converge(c3)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, e1, c1, c2, c3, b1, b2, b3])

precedence(i1, n1)
precedence(n23, e1)
precedence(c1, n9)
precedence(c2, n18)
precedence(c3, n22)
precedence(n6, b1)
precedence(n15, b2)
precedence(n19, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, c1)
precedence(n8, c1)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(b2, n16)
precedence(b2, n17)
precedence(n16, c2)
precedence(n17, c2)
precedence(n18, n19)
precedence(b3, n20)
precedence(b3, n21)
precedence(n20, c3)
precedence(n21, c3)
precedence(n22, n23)
