init(i1)
action(n1, "BUSINESS PROCESS REQUIREMENTS")
action(n2, "SAP Configuration")
action(n3, "Communications Design")
action(n4, "Learning Design")
action(n5, "Data Conversion Design & Test")
action(n6, "IT Design Development & Functional Test")
action(n7, "Communications Deployment")
action(n8, "Learning Deployment")
action(n9, "Integration Test")
action(n10, "Integration Test")
action(n11, "Deployment")
action(n12, "Deployment")
action(n13, "Deployment")
action(n14, "PRODUCTION SUPPORT")
action(n15, "End")
end(e1)
action(n16, "End")
end(e2)
action(n17, "End")
end(e3)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1, n16, e2, n17, e3, b1])

precedence(i1, n1)
precedence(n15, e1)
precedence(n16, e2)
precedence(n17, e3)
precedence(n1, b1)
precedence(b1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(b1, n5)
precedence(n2, n6)
precedence(n3, n7)
precedence(n4, n8)
precedence(n5, n9)
precedence(n6, n10)
precedence(n7, n11)
precedence(n8, n12)
precedence(n9, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n11, n16)
precedence(n12, n17)
