init(i1)
action(n1, "customer enters website")
action(n2, "search for desired item")
action(n3, "click on desired item and enter item page")
action(n4, "choose action: view quantity amount or enter quantity amount or add item to cart")
branch(b1, XOR)
action(n5, "view quantity amount")
action(n6, "return to desired item page")
action(n7, "enter quantity amount")
action(n8, "return to desired item page")
action(n9, "add item to cart")
action(n10, "choose action: continue shopping or check out current item")
branch(b2, XOR)
action(n11, "continue shopping")
action(n12, "return to desired item page")
action(n13, "check out current item")
action(n14, "check out item")
action(n15, "confirm checked out item")
action(n16, "choose action: proceed to check out or recalculate shipping or enter coupon code")
branch(b3, XOR)
action(n17, "proceed to check out")
action(n18, "enter check out page from proceed to check out action")
action(n19, "recalculate shipping")
action(n20, "enter check out page from recalculate shipping action")
action(n21, "enter coupon code")
action(n22, "enter check out page from enter coupon code action")
action(n23, "merge: enter check out page from proceed to check out action; enter check out page from recalculate shipping action; enter check out page from enter coupon code action")
action(n24, "enter billing information")
action(n25, "process ends")
end(e1)
converge(c1)
defines(v1, "choose action: view quantity amount or enter quantity amount or add item to cart", {})
defines(v2, "choose action: continue shopping or check out current item", {})
defines(v3, "choose action: proceed to check out or recalculate shipping or enter coupon code", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, n8, n9, n10, b2, n11, n12, n13, n14, n15, n16, b3, n17, n18, n19, n20, n21, n22, n23, n24, n25, e1, c1])

precedence(i1, n1)
precedence(n4, b1)
precedence(n10, b2)
precedence(n16, b3)
precedence(n25, e1)
precedence(c1, n23)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(n7, n8)
precedence(b1, n9)
precedence(n9, n10)
precedence(b2, n11)
precedence(n11, n12)
precedence(b2, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(b3, n17)
precedence(n17, n18)
precedence(b3, n19)
precedence(n19, n20)
precedence(b3, n21)
precedence(n21, n22)
precedence(n18, c1)
precedence(n20, c1)
precedence(n22, c1)
precedence(n23, n24)
precedence(n24, n25)
