init(i1)
action(n1, "Start gross pathology request")
action(n2, "Registration gross pathology request")
action(n3, "create barcode scan at start")
action(n4, "assign container to gross pathology request")
action(n5, "specimen description")
action(n6, "pay attention to scan start")
action(n7, "pay attention to scan end")
action(n8, "pay attention to scan start for Registration gross pathology request (cont)")
action(n9, "macroscopic description writing")
action(n10, "tissue processing")
action(n11, "check if Digitalization is required first time")
branch(b1, XOR)
action(n12, "continue process without digitalization first time")
action(n13, "digitalization first time")
action(n14, "check if Digitalization is required second time")
branch(b2, XOR)
action(n15, "continue process without digitalization second time")
action(n16, "digitalization second time")
action(n17, "assign cases to pathologist")
action(n18, "microscopic examination and diagnosis")
action(n19, "write pathology report")
action(n20, "confirm pathology report")
action(n21, "deliver pathology report")
action(n22, "post-report processing")
action(n23, "close pathology procedure")
action(n24, "deliver pathology report again")
action(n25, "complete post-report processing")
action(n26, "End pathology procedure")
end(e1)
converge(c1)
converge(c2)
converge(c3)
branch(b3, AND)
branch(b4, AND)
defines(v1, "check if Digitalization is required first time", {})
defines(v2, "check if Digitalization is required second time", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, b1, n12, n13, n14, b2, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, n26, e1, c1, c2, c3, b3, b4])

precedence(i1, n1)
precedence(n11, b1)
precedence(n14, b2)
precedence(n26, e1)
precedence(c1, n14)
precedence(c2, n17)
precedence(c3, n26)
precedence(n8, b3)
precedence(n23, b4)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(b3, n9)
precedence(b3, n10)
precedence(n10, n11)
precedence(b1, n12)
precedence(b1, n13)
precedence(n9, c1)
precedence(n12, c1)
precedence(n13, c1)
precedence(b2, n15)
precedence(b2, n16)
precedence(n15, c2)
precedence(n16, c2)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(b4, n24)
precedence(b4, n25)
precedence(n24, c3)
precedence(n25, c3)
