init(i1)
action(n1, "Start processing incoming orders")
action(n2, "Order received")
action(n3, "Send the collected order list")
action(n4, "Implement the collected order list in the database")
action(n5, "Gather all the information in one excel file")
action(n6, "Check order and customer details")
action(n7, "Is permit data option selected")
branch(b1, XOR)
action(n8, "Proceed with permitting the data")
action(n9, "Data will not be permitted")
action(n10, "Release the data if permitted")
action(n11, "Contact the selling agency if not permitted")
action(n12, "Check the worth of the orders")
action(n13, "Are orders to be released")
branch(b2, XOR)
action(n14, "Continue with the process as orders to be released")
action(n15, "End process as order is cancelled")
end(e1)
action(n16, "Is value of orders less than 5000")
branch(b3, XOR)
action(n17, "Continue with the process")
action(n18, "Order need to be signed off by board of directors")
action(n19, "Order signed off by board of directors")
action(n20, "Collect the order and start production")
action(n21, "Send memorandum and invoice")
action(n22, "Send quality report")
action(n23, "Check quality of production")
action(n24, "Send quality report")
action(n25, "Collect the goods after production started")
action(n26, "Sign off on the memo")
action(n27, "Pick the goods")
action(n28, "Send goods to complete the process")
action(n29, "End process")
end(e2)
converge(c1)
converge(c2)
branch(b4, AND)
defines(v1, "Is permit data option selected", {})
defines(v2, "Are orders to be released", {})
defines(v3, "Is value of orders less than 5000", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, b1, n8, n9, n10, n11, n12, n13, b2, n14, n15, e1, n16, b3, n17, n18, n19, n20, n21, n22, n23, n24, n25, n26, n27, n28, n29, e2, c1, c2, b4])

precedence(i1, n1)
precedence(n7, b1)
precedence(n13, b2)
precedence(n15, e1)
precedence(n16, b3)
precedence(n29, e2)
precedence(c1, n20)
precedence(c2, n29)
precedence(n20, b4)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(b1, n8)
precedence(b1, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(b2, n14)
precedence(b2, n15)
precedence(n14, n16)
precedence(b3, n17)
precedence(b3, n18)
precedence(n18, n19)
precedence(n17, c1)
precedence(n19, c1)
precedence(b4, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(n23, n24)
precedence(b4, n25)
precedence(n25, n26)
precedence(n26, n27)
precedence(n27, n28)
precedence(n10, c2)
precedence(n24, c2)
precedence(n28, c2)
