init(i1)
action(n1, "start with CB")
action(n2, "proceed to CC")
action(n3, "proceed to CD")
action(n4, "proceed to CE")
action(n5, "proceed to CI")
action(n6, "proceed to CK")
action(n7, "proceed to CL")
action(n8, "conclude with CM")
action(n9, "end process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, e1])

precedence(i1, n1)
precedence(n9, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
