init(i1)
action(n1, "Begin purchase process")
action(n2, "Make a purchase")
action(n3, "Connect to the website")
action(n4, "Search for an item")
action(n5, "Select add item to cart or continue shopping")
branch(b1, XOR)
action(n6, "Proceed to checkout")
action(n7, "Continue with shopping process")
action(n8, "Enter address")
action(n9, "Enter shipping method")
action(n10, "Enter payment information")
action(n11, "Authorize credit card")
action(n12, "Check inventory levels")
action(n13, "All address shipping payment authorize credit check inventory complete")
action(n14, "Is credit card approved and inventory in stock")
branch(b2, XOR)
action(n15, "Continue with the process")
action(n16, "End transaction")
end(e1)
action(n17, "Display order confirmation number")
action(n18, "Show final order to customer")
action(n19, "Confirm the order")
action(n20, "Email confirmation notice to customer")
action(n21, "Order entry complete")
end(e2)
converge(c1)
branch(b3, AND)
defines(v1, "Select add item to cart or continue shopping", {})
defines(v2, "Is credit card approved and inventory in stock", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, b1, n6, n7, n8, n9, n10, n11, n12, n13, n14, b2, n15, n16, e1, n17, n18, n19, n20, n21, e2, c1, b3])

precedence(i1, n1)
precedence(n5, b1)
precedence(n14, b2)
precedence(n16, e1)
precedence(n21, e2)
precedence(c1, n13)
precedence(n6, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(b1, n6)
precedence(b1, n7)
precedence(b3, n8)
precedence(b3, n9)
precedence(b3, n10)
precedence(b3, n11)
precedence(b3, n12)
precedence(n8, c1)
precedence(n9, c1)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, n14)
precedence(b2, n15)
precedence(b2, n16)
precedence(n15, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
