init(i1)
action(n1, "Start receiving purchase order")
action(n2, "Is product in stock")
branch(b1, XOR)
action(n3, "Acquire raw materials")
action(n4, "Retrieve product from warehouse")
action(n5, "Manufacture product after acquiring raw materials")
action(n6, "Confirm order after retrieving product")
action(n7, "Confirm order after manufacturing product")
action(n8, "Ship order after confirming order from warehouse retrieval")
action(n9, "Ship order after confirming order from manufacturing")
action(n10, "Invoice order after shipping from warehouse retrieval")
action(n11, "Invoice order after shipping from manufacturing")
action(n12, "Archive order after invoicing from warehouse retrieval branch")
action(n13, "Archive order after invoicing from manufacturing branch")
action(n14, "Order fulfillment after archiving from warehouse retrieval branch")
action(n15, "Order fulfillment after archiving from manufacturing branch")
action(n16, "End process after order fulfillment from warehouse retrieval branch")
end(e1)
action(n17, "End process after order fulfillment from manufacturing branch")
end(e2)
defines(v1, "Is product in stock", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, e1, n17, e2])

precedence(i1, n1)
precedence(n2, b1)
precedence(n16, e1)
precedence(n17, e2)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n3, n5)
precedence(n4, n6)
precedence(n5, n7)
precedence(n6, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, n12)
precedence(n11, n13)
precedence(n12, n14)
precedence(n13, n15)
precedence(n14, n16)
precedence(n15, n17)
