init(i1)
action(n1, "Start the procedure")
action(n2, "BUSINESS PROCESS REQUIREMENTS")
action(n3, "SAP Configuration")
action(n4, "Communications Design")
action(n5, "Learning Design")
action(n6, "Data Conversion Design & Test")
action(n7, "IT Design Development & Functional Test")
action(n8, "Communications Deployment")
action(n9, "Learning Deployment")
action(n10, "Integration Test")
action(n11, "Integration Test")
action(n12, "Deployment")
action(n13, "Deployment")
action(n14, "Deployment")
action(n15, "PRODUCTION SUPPORT")
action(n16, "End")
end(e1)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, e1, b1, b2, b3])

precedence(i1, n1)
precedence(n16, e1)
precedence(n3, b1)
precedence(n4, b2)
precedence(n5, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b2, n5)
precedence(b3, n6)
precedence(b1, n7)
precedence(b2, n8)
precedence(b3, n9)
precedence(n6, n10)
precedence(n7, n11)
precedence(n8, n12)
precedence(n9, n13)
precedence(n10, n14)
precedence(n14, n15)
precedence(n15, n16)
