init(i1)
action(n1, "start the process")
action(n2, "Request for Quotation")
action(n3, "Customer submits RFQ")
action(n4, "Submit Quotation")
action(n5, "Receive Quotation")
action(n6, "Submit Purchase Order")
action(n7, "Send Goods")
action(n8, "Send Invoice")
action(n9, "Mark Goods as sent")
action(n10, "Mark Invoice as sent")
action(n11, "End")
end(e1)
action(n12, "End")
end(e2)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, e1, n12, e2, b1])

precedence(i1, n1)
precedence(n11, e1)
precedence(n12, e2)
precedence(n6, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(b1, n7)
precedence(b1, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, n12)
