init(i1)
action(n1, "Gross pathology request arrived")
action(n2, "create barcode scan")
action(n3, "Registration gross pathology request")
action(n4, "assign container to gross pathology request")
action(n5, "Specimen description scan start")
action(n6, "Specimen description scan end")
action(n7, "Registration gross pathology request cont scan start")
action(n8, "Macroscopic description writing")
action(n9, "Tissue processing")
action(n10, "Digitalization required #1")
branch(b1, XOR)
action(n11, "Proceed without digitalization #1")
action(n12, "Digitalization #1")
action(n13, "Digitalization required #2")
branch(b2, XOR)
action(n14, "Proceed without digitalization #2")
action(n15, "Digitalization #2")
action(n16, "Assign cases to pathologist")
action(n17, "Microscopic examination and diagnosis")
action(n18, "Write pathology report")
action(n19, "Confirm report")
action(n20, "Deliver report")
action(n21, "Proceed with post report processing")
action(n22, "Close pathology procedure")
action(n23, "Deliver pathology report and complete post report processing")
action(n24, "End")
end(e1)
converge(c1)
converge(c2)
branch(b3, AND)
defines(v1, "Digitalization required #1", {})
defines(v2, "Digitalization required #2", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, b1, n11, n12, n13, b2, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, e1, c1, c2, b3])

precedence(i1, n1)
precedence(n10, b1)
precedence(n13, b2)
precedence(n24, e1)
precedence(c1, n13)
precedence(c2, n16)
precedence(n7, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(b3, n8)
precedence(b3, n9)
precedence(n9, n10)
precedence(b1, n11)
precedence(b1, n12)
precedence(n8, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(b2, n14)
precedence(b2, n15)
precedence(n14, c2)
precedence(n15, c2)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(n23, n24)
