init(i1)
action(n1, "Start process")
action(n2, "Identify periodic planning needs and events that impact demand")
action(n3, "Develop sales and operation plan")
action(n4, "Develop operations plan")
action(n5, "Proceed to disaggregation stage")
action(n6, "Plan independent requirements PIR")
action(n7, "Address changes to MRP elements")
action(n8, "Execute material requirements planning MRP")
action(n9, "Generate purchase requisitions")
action(n10, "Generate planned orders")
action(n11, "Generate dependent requirements")
action(n12, "End of procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, e1])

precedence(i1, n1)
precedence(n12, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
