init(i1)
action(n1, "Go to Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on the link that says 22 used to see used books")
action(n4, "Click on the Add to Cart button for the second book on the list")
action(n5, "Click on the Proceed to Checkout button")
action(n6, "Enter your email address on checkout page")
action(n7, "Select the option that says I am a new customer")
action(n8, "Click on the Sign in using our secure server button")
action(n9, "Have you signed in?")
branch(b1, XOR)
action(n10, "Sign in using secure server")
action(n11, "Enter your customer details")
action(n12, "Click on the Create account button")
action(n13, "Enter your shipping details")
action(n14, "Click on Continue button")
action(n15, "Select your preferred shipping options")
action(n16, "Click on Continue button")
action(n17, "Choose your payment method and enter credit card details")
action(n18, "Click on Add your card button")
action(n19, "Click on Continue button to proceed")
action(n20, "Choose your billing address and select the option to use the chosen address")
action(n21, "Click on Place your order in AUD to complete the process")
action(n22, "You have completed this procedure")
end(e1)
converge(c1)
defines(v1, "Have you signed in?", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, b1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, e1, c1])

precedence(i1, n1)
precedence(n9, b1)
precedence(n22, e1)
precedence(c1, n11)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(b1, n10)
precedence(b1, c1)
precedence(n10, c1)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
label(n8, n9, "No")
