init(i1)
action(n1, "begin the purchasing process")
action(n2, "make a purchase")
action(n3, "connect to the website")
action(n4, "search for an item")
action(n5, "choose add item to cart or continue shopping")
branch(b1, XOR)
action(n6, "proceed to checkout")
action(n7, "continue with the shopping process")
action(n8, "enter address")
action(n9, "enter shipping method")
action(n10, "enter payment information")
action(n11, "authorize the credit card")
action(n12, "check inventory levels")
action(n13, "all entries and checks completed")
action(n14, "credit card approved and inventory in stock?")
branch(b2, XOR)
action(n15, "continue with the process")
action(n16, "end transaction")
end(e1)
action(n17, "display order confirmation number")
action(n18, "show final order to customer")
action(n19, "confirm the order")
action(n20, "send confirmation notice email to customer")
action(n21, "order entry complete end process")
end(e2)
converge(c1)
branch(b3, AND)
defines(v1, "choose add item to cart or continue shopping", {})
defines(v2, "credit card approved and inventory in stock?", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, b1, n6, n7, n8, n9, n10, n11, n12, n13, n14, b2, n15, n16, e1, n17, n18, n19, n20, n21, e2, c1, b3])

precedence(i1, n1)
precedence(n5, b1)
precedence(n14, b2)
precedence(n16, e1)
precedence(n21, e2)
precedence(c1, n13)
precedence(n6, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(b1, n6)
precedence(b1, n7)
precedence(b3, n8)
precedence(b3, n9)
precedence(b3, n10)
precedence(b3, n11)
precedence(b3, n12)
precedence(n8, c1)
precedence(n9, c1)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, n14)
precedence(b2, n15)
precedence(b2, n16)
precedence(n15, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
