init(i1)
action(n1, "start the trip planning")
action(n2, "select trip type")
branch(b1, XOR)
action(n3, "proceed with one way selection")
action(n4, "proceed with return selection")
action(n5, "select departure city")
action(n6, "select departure city")
action(n7, "select destination city")
action(n8, "select destination city")
action(n9, "select class")
action(n10, "select class")
action(n11, "select seat")
action(n12, "select seat")
action(n13, "enter type and number of passengers")
action(n14, "enter type and number of passengers")
action(n15, "select flight selection")
action(n16, "select flight selection")
action(n17, "process end")
end(e1)
action(n18, "process end")
end(e2)
defines(v1, "select trip type", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1, n18, e2])

precedence(i1, n1)
precedence(n2, b1)
precedence(n17, e1)
precedence(n18, e2)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n3, n5)
precedence(n4, n6)
precedence(n5, n7)
precedence(n6, n8)
precedence(n7, n9)
precedence(n8, n10)
precedence(n9, n11)
precedence(n10, n12)
precedence(n11, n13)
precedence(n12, n14)
precedence(n13, n15)
precedence(n14, n16)
precedence(n15, n17)
precedence(n16, n18)
