init(i1)
action(n1, "Start Site Support procedure")
action(n2, "Send email to SA's requesting upp info")
action(n3, "Receive message to collect upp info")
action(n4, "Collect upp info")
action(n5, "Send collected upp info back to Point Sec Admin")
action(n6, "Consolidate upp info from SA Managers")
action(n7, "Enter info into Point Sec share point")
action(n8, "Export info from Point Sec share point into excel spreadsheet")
action(n9, "Create Market Place request 11545")
action(n10, "End process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
