init(i1)
action(n1, "start Application Architecture")
action(n2, "Student records and mailing lists")
action(n3, "Accounting")
action(n4, "Program planning pricing and booking")
action(n5, "Annual Planning")
action(n6, "Materials Lists")
action(n7, "Email")
action(n8, "Manage Student records and mailing lists with MS Access")
action(n9, "Use MYOB AccountRight Premier for Accounting")
action(n10, "Handle Program planning pricing and booking with MS Excel Worksheet")
action(n11, "Use MS Project for Annual Planning")
action(n12, "Manage Materials Lists with MS Word")
action(n13, "Handle Email with Outlook")
action(n14, "End")
end(e1)
converge(c1)
branch(b1, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, e1, c1, b1])

precedence(i1, n1)
precedence(n14, e1)
precedence(c1, n14)
precedence(n7, b1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(b1, n8)
precedence(b1, n9)
precedence(b1, n10)
precedence(b1, n11)
precedence(b1, n12)
precedence(b1, n13)
precedence(n8, c1)
precedence(n9, c1)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, c1)
