init(i1)
action(n1, "start gross pathology request")
action(n2, "perform registration gross pathology request")
action(n3, "create barcode scan at registration start")
action(n4, "assign container to gross pathology request")
action(n5, "specimen description")
action(n6, "scan start for specimen description")
action(n7, "scan end for specimen description")
action(n8, "scan start for registration gross pathology request cont")
action(n9, "proceed with macroscopic description writing")
action(n10, "start tissue processing")
action(n11, "check digitalization need for tissue processing")
branch(b1, XOR)
action(n12, "continue tissue processing without digitalization")
action(n13, "perform digitalization for tissue processing")
action(n14, "check digitalization need after tissue processing")
branch(b2, XOR)
action(n15, "continue process without second digitalization")
action(n16, "perform second digitalization")
action(n17, "assign cases to pathologist")
action(n18, "perform microscopic examination and diagnosis")
action(n19, "write pathology report")
action(n20, "confirm pathology report")
action(n21, "deliver pathology report")
action(n22, "post report processing")
action(n23, "close pathology procedure")
action(n24, "deliver pathology report and complete post report processing")
action(n25, "pathology procedure completed")
end(e1)
converge(c1)
converge(c2)
branch(b3, AND)
branch(b4, AND)
defines(v1, "check digitalization need for tissue processing", {})
defines(v2, "check digitalization need after tissue processing", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, b1, n12, n13, n14, b2, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, e1, c1, c2, b3, b4])

precedence(i1, n1)
precedence(n11, b1)
precedence(n14, b2)
precedence(n25, e1)
precedence(c1, n14)
precedence(c2, n17)
precedence(n2, b3)
precedence(n8, b4)
precedence(n1, n2)
precedence(b3, n3)
precedence(b3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(b4, n9)
precedence(b4, n10)
precedence(n10, n11)
precedence(b1, n12)
precedence(b1, n13)
precedence(n13, c1)
precedence(n12, c1)
precedence(b2, n15)
precedence(b2, n16)
precedence(n16, c2)
precedence(n15, c2)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(n23, n24)
precedence(n24, n25)
