init(i1)
action(n1, "start site support process")
action(n2, "send email to SAs requesting upp info")
action(n3, "receive message to collect upp info")
action(n4, "collect upp info")
action(n5, "send collected upp info back to Point Sec Admin")
action(n6, "consolidate upp info from SA Managers")
action(n7, "enter info into Point Sec share point")
action(n8, "export info into excel spreadsheet")
action(n9, "create Market Place request 11545")
action(n10, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
