init(i1)
action(n1, "Start at Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on link '22 used' to see used books available")
action(n4, "Click 'Add to Cart' button for second book on list")
action(n5, "Click 'Proceed to Checkout' button")
action(n6, "Enter your email address on checkout page")
action(n7, "Select 'I am a new customer' option")
action(n8, "Click 'Sign in using our secure server' button")
action(n9, "Sign in completed")
action(n10, "Enter customer details")
action(n11, "Click 'Create account' button")
action(n12, "Enter shipping details")
action(n13, "Click 'Continue' button after entering shipping details")
action(n14, "Select preferred shipping options")
action(n15, "Click 'Continue' button after selecting shipping options")
action(n16, "Choose payment method")
action(n17, "Enter credit card details")
action(n18, "Click 'Add your card' button to save card information")
action(n19, "Click 'Continue' to proceed after adding card")
action(n20, "Choose billing address")
action(n21, "Select option to use chosen billing address")
action(n22, "Click 'Place your order in AUD' button to complete process")
action(n23, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, n21, n22, n23, e1])

precedence(i1, n1)
precedence(n23, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
