action(n1, "Start")
action(n2, "Send Letter")
action(n3, "Check Correctness 1")
action(n4, "Add Mail Number and Date")
action(n5, "Make Phone Call 1")
action(n6, "Check Correctness 2")
action(n7, "Record & Archive")
action(n8, "Make Phone Call 2")
action(n9, "Transmit to Miranda")
action(n10, "Register")
action(n11, "Membership Decision")
action(n12, "Stamp New Member")
action(n13, "Transmit to Charles")
action(n14, "Add New Member")
action(n15, "Calculate Fee")
action(n16, "Write Down Amount")
action(n17, "Prepare Invoice")
action(n18, "Send Invoices")
action(n19, "Print Membership Card")
action(n20, "Send Card")
actor(a_default, "Default", [n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20])

