init(i1)
action(n1, "begin planning process")
action(n2, "address periodic planning needs and events impacting demand")
action(n3, "develop sales and operations plan")
action(n4, "develop operations plan")
action(n5, "perform disaggregation")
action(n6, "determine planned independent requirements (PIR)")
action(n7, "review and update MRP elements as needed")
action(n8, "conduct material requirements planning (MRP)")
action(n9, "generate purchase requisitions'")
action(n10, "process complete")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
