init(i1)
action(n1, "Start Gross Pathology Process")
action(n2, "Handle Gross pathology request arrival")
action(n3, "Register Gross pathology request")
action(n4, "Create barcode scan at registration start")
action(n5, "Assign container to Gross pathology request")
action(n6, "Scan start for Specimen description")
action(n7, "Scan end for Specimen description")
action(n8, "Scan start for Registration gross pathology request (cont.)")
action(n9, "Macroscopic description writing")
action(n10, "Check if Digitalization is required?")
branch(b1, XOR)
action(n11, "Tissue processing")
action(n12, "Digitalization")
action(n13, "Proceed with Tissue processing and Digitalization (if applicable)")
action(n14, "Assign cases to pathologist")
action(n15, "Microscopic examination and diagnosis")
action(n16, "Write pathology report")
action(n17, "Confirm pathology report")
action(n18, "Deliver pathology report")
action(n19, "Proceed with post-report processing")
action(n20, "Close Pathology procedure")
end(e1)
action(n21, "Complete post-report processing")
end(e2)
converge(c1)
branch(b2, AND)
defines(v1, "Check if Digitalization is required?", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, b1, n11, n12, n13, n14, n15, n16, n17, n18, n19, n20, e1, n21, e2, c1, b2])

precedence(i1, n1)
precedence(n10, b1)
precedence(n20, e1)
precedence(n21, e2)
precedence(c1, n13)
precedence(n19, b2)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(b1, n11)
precedence(b1, n12)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(b2, n20)
precedence(b2, n21)
