init(i1)
action(n1, "start: initiate IDES process")
action(n2, "request: request a quotation")
action(n3, "create: create the quotation")
action(n4, "compare: compare prices")
action(n5, "create: create a contract")
action(n6, "create: create purchase requisition")
action(n7, "assign: assign to source")
action(n8, "create: create purchase order")
action(n9, "process: process inbound delivery")
action(n10, "post: post goods receipt")
action(n11, "verify: verify invoice")
action(n12, "process: process blocked invoices")
action(n13, "make payment to vendor")
action(n14, "end: end of IDES process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, e1])

precedence(i1, n1)
precedence(n14, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
