init(i1)
action(n1, "start")
action(n2, "go to Amazon homepage")
action(n3, "search for a book")
action(n4, "click link 22 used to see used books available")
action(n5, "click add to cart for second book on list")
action(n6, "click proceed to checkout")
action(n7, "enter email address and select I am a new customer")
action(n8, "click sign in using our secure server")
action(n9, "enter customer details and click create account")
action(n10, "enter shipping details and click continue")
action(n11, "select preferred shipping options and click continue")
action(n12, "choose payment method and enter credit card details")
action(n13, "click add your card")
action(n14, "click continue to proceed")
action(n15, "choose billing address and select use chosen address")
action(n16, "click place your order in AUD")
action(n17, "end")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1])

precedence(i1, n1)
precedence(n17, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
precedence(n16, n17)
