init(i1)
action(n1, "Go to Amazon homepage")
action(n2, "Search for a book")
action(n3, "Click on the link that says '22 used' to see used books available")
action(n4, "Click on the 'Add to Cart' button for the second book")
action(n5, "Click on the 'Proceed to Checkout' button")
action(n6, "Enter email address and select the option 'I am a new customer'")
action(n7, "Click on the 'Sign in using our secure server' button")
action(n8, "Enter customer details and click on the 'Create account' button")
action(n9, "Enter shipping details and click on the 'Continue' button")
action(n10, "Select preferred shipping options and click on 'Continue'")
action(n11, "Choose payment method and enter credit card details")
action(n12, "Click on the 'Add your card' button to save card information")
action(n13, "Click on 'Continue' to proceed")
action(n14, "Choose billing address and select the option to use the chosen address")
action(n15, "Click on 'Place your order in AUD' to complete the process")
action(n16, "You have completed this procedure")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, e1])

precedence(i1, n1)
precedence(n16, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
