init(i1)
action(n1, "Start process")
action(n2, "Application Architecture")
action(n3, "Student records and mailing lists")
action(n4, "Accounting")
action(n5, "Program planning pricing and booking")
action(n6, "Annual Planning")
action(n7, "Materials Lists")
action(n8, "Email")
action(n9, "Manage Student records and mailing lists using MS Access")
action(n10, "Manage Accounting using MYOB AccountRight Premier")
action(n11, "Manage Program planning pricing and booking using MS Excel Worksheet")
action(n12, "Manage Annual Planning using MS Project")
action(n13, "Manage Materials Lists using MS Word")
action(n14, "Manage Email using Outlook")
action(n15, "Process completed")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1])

precedence(i1, n1)
precedence(n15, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
