init(i1)
action(n1, "start process")
action(n2, "gather required items")
action(n3, "inquire availability of products")
action(n4, "wait for invoice")
action(n5, "receive initial invoice")
action(n6, "review pricing and terms")
action(n7, "send purchase requisition")
action(n8, "wait for purchase invoice and shipment")
action(n9, "receive purchase invoice and shipment")
action(n10, "make payment")
action(n11, "transaction complete")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, e1])

precedence(i1, n1)
precedence(n11, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
