init(i1)
action(n1, "Start Process")
action(n2, "Perform Application Architecture")
action(n3, "Manage Student records and mailing lists using MS Access")
action(n4, "Perform Accounting using MYOB AccountRight Premier")
action(n5, "Perform Program planning pricing and booking using MS Excel Worksheet")
action(n6, "Perform Annual Planning using MS Project")
action(n7, "Manage Materials Lists using MS Word")
action(n8, "Handle Email using Outlook")
action(n9, "Manage Student records and mailing lists using MS Access")
action(n10, "End Process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, e1])

precedence(i1, n1)
precedence(n10, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
