init(i1)
action(n1, "start IDES process")
action(n2, "Receive customer request")
action(n3, "Enter sales order")
action(n4, "Check item availability")
action(n5, "Confirm sales order")
action(n6, "Process outbound delivery")
action(n7, "Perform picking")
action(n8, "Perform packing")
action(n9, "Post goods issue to update inventory")
action(n10, "Update G/L accounts for cost of goods sold and inventory")
action(n11, "Process billing")
action(n12, "Update customer account")
action(n13, "Update G/L accounts for revenue and discounts")
action(n14, "Post payment receipt")
action(n15, "End")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1])

precedence(i1, n1)
precedence(n15, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
