init(i1)
action(n1, "Define audience")
action(n2, "Develop concept")
action(n3, "Determine form or style")
action(n4, "Write script")
action(n5, "Create storyboard")
action(n6, "Shoot video")
action(n7, "Record narration")
action(n8, "Create graphics")
action(n9, "Find or create music")
action(n10, "Capture video to computer")
action(n11, "Import audio")
action(n12, "Import graphics")
action(n13, "Create titles subtitles and credits")
action(n14, "Edit everything together")
action(n15, "Upload to YouTube")
action(n16, "End")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, e1])

precedence(i1, n1)
precedence(n16, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
precedence(n15, n16)
