init(i1)
action(n1, "start AVERS OEM process")
action(n2, "request material")
action(n3, "check if material is in stock for inventory management")
branch(b1, XOR)
action(n4, "place orders to suppliers for inventory management if not in stock")
action(n5, "manage transfers of material for inventory if in stock")
action(n6, "check if material is in stock for transfer management")
branch(b2, XOR)
action(n7, "place orders to suppliers for transfer management if not in stock")
action(n8, "manage transfers of material for transfer management if in stock")
action(n9, "place orders to suppliers")
action(n10, "monitor progress of purchase orders")
action(n11, "manage transfers of material")
action(n12, "receive requested material")
action(n13, "monitor progress of purchase orders for incoming supplies")
action(n14, "receive incoming material supplies")
action(n15, "receive requested material simultaneously")
action(n16, "release invoices for payment simultaneously")
action(n17, "end process")
end(e1)
branch(b3, AND)
defines(v1, "check if material is in stock for inventory management", {})
defines(v2, "check if material is in stock for transfer management", {})
actor(a_default, "Default", [i1, n1, n2, n3, b1, n4, n5, n6, b2, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16, n17, e1, b3])

precedence(i1, n1)
precedence(n3, b1)
precedence(n6, b2)
precedence(n17, e1)
precedence(n10, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b1, n5)
precedence(n5, n6)
precedence(b2, n7)
precedence(b2, n8)
precedence(x1, n9)
precedence(n9, n10)
precedence(b3, n11)
precedence(b3, n12)
precedence(b3, n13)
precedence(b3, n14)
precedence(b3, n15)
precedence(b3, n16)
precedence(x2, n17)
