init(i1)
action(n1, "start the process")
action(n2, "Application Architecture")
action(n3, "Student records and mailing lists")
action(n4, "Accounting")
action(n5, "Program planning pricing and booking")
action(n6, "Annual Planning")
action(n7, "Materials Lists")
action(n8, "Email")
action(n9, "manage Student records and mailing lists using MS Access")
action(n10, "use MYOB AccountRight Premier for Accounting")
action(n11, "handle Program planning pricing and booking using MS Excel Worksheet")
action(n12, "perform Annual Planning using MS Project")
action(n13, "manage Materials Lists using MS Word")
action(n14, "handle Email using Outlook")
action(n15, "End process")
end(e1)
converge(c1)
branch(b1, AND)
branch(b2, AND)
branch(b3, AND)
branch(b4, AND)
branch(b5, AND)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1, c1, b1, b2, b3, b4, b5])

precedence(i1, n1)
precedence(n15, e1)
precedence(c1, n15)
precedence(n3, b1)
precedence(n4, b2)
precedence(n5, b3)
precedence(n6, b4)
precedence(n7, b5)
precedence(n1, n2)
precedence(n2, n3)
precedence(b1, n4)
precedence(b2, n5)
precedence(b3, n6)
precedence(b4, n7)
precedence(b5, n8)
precedence(b1, n9)
precedence(b2, n10)
precedence(b3, n11)
precedence(b4, n12)
precedence(b5, n13)
precedence(n8, n14)
precedence(n9, c1)
precedence(n10, c1)
precedence(n11, c1)
precedence(n12, c1)
precedence(n13, c1)
precedence(n14, c1)
