init(i1)
action(n1, "Start the IDES process")
action(n2, "Receive the customer request")
action(n3, "Enter the sales order")
action(n4, "Check the item availability")
action(n5, "Confirm the sales order")
action(n6, "Proceed to outbound delivery")
action(n7, "Perform picking")
action(n8, "Perform packing")
action(n9, "Post the goods issue to update inventory")
action(n10, "Update the G/L accounts with cost of goods sold and inventory in mind")
action(n11, "Perform billing")
action(n12, "Update the customer account")
action(n13, "Update the G/L accounts with revenue discounts etc in mind")
action(n14, "Post the payment receipt")
action(n15, "End of IDES process")
end(e1)
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, e1])

precedence(i1, n1)
precedence(n15, e1)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(n11, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(n14, n15)
